Mach,Alpha,CD,CD Power-Off,CD Power-On
0.71,0,1.397301827,1.397301827,1.3722523
0.72,0,1.39394987,1.39394987,1.368497258
0.73,0,1.390598237,1.390598237,1.364742541
0.74,0,1.387247127,1.387247127,1.360988345
0.75,0,1.383896329,1.383896329,1.357234462
0.76,0,1.38054605,1.38054605,1.353481098
0.77,0,1.377196086,1.377196086,1.349728049
0.78,0,1.373846534,1.373846534,1.345975412
0.79,0,1.370497494,1.370497494,1.342223287
0.8,0,1.367148763,1.367148763,1.338471471
0.81,0,1.39513784,1.39513784,1.366057463
0.82,0,1.423127323,1.423127323,1.393643861
0.83,0,1.451117211,1.451117211,1.421230664
0.84,0,1.479107399,1.479107399,1.448817767
0.85,0,1.507097991,1.507097991,1.476405275
0.86,0,1.535089083,1.535089083,1.503993282
0.87,0,1.563080573,1.563080573,1.531581687
0.88,0,1.59107246,1.59107246,1.559170489
0.89,0,1.619064642,1.619064642,1.586759586
0.9,0,1.647057317,1.647057317,1.614349176
0.91,0,1.651564909,1.651564909,1.61723799
0.92,0,1.656072501,1.656072501,1.620126803
0.93,0,1.660580093,1.660580093,1.623015617
0.94,0,1.665087685,1.665087685,1.625904431
0.95,0,1.669595276,1.669595276,1.628793245
0.96,0,1.674102868,1.674102868,1.631682058
0.97,0,1.67861046,1.67861046,1.634570872
0.98,0,1.683118052,1.683118052,1.637459686
0.99,0,1.687625643,1.687625643,1.640348499
1,0,1.692133235,1.692133235,1.643237313
1.01,0,1.696640827,1.696640827,1.646126127
1.02,0,1.701148419,1.701148419,1.649014941
1.03,0,1.705656011,1.705656011,1.651903754
1.04,0,1.710163602,1.710163602,1.654792568
1.05,0,1.714671194,1.714671194,1.657681382
1.06,0,1.704513373,1.704513373,1.647764991
1.07,0,1.69446852,1.69446852,1.63796157
1.08,0,1.684536259,1.684536259,1.62827074
1.09,0,1.674715947,1.674715947,1.618691859
1.1,0,1.665007348,1.665007348,1.609224691
1.11,0,1.65541002,1.65541002,1.599868794
1.12,0,1.645923486,1.645923486,1.590623691
1.13,0,1.636547319,1.636547319,1.581488956
1.14,0,1.627281152,1.627281152,1.57246422
1.15,0,1.618124705,1.618124705,1.563549204
1.16,0,1.608185922,1.608185922,1.553851852
1.17,0,1.59832715,1.59832715,1.54423451
1.18,0,1.588580868,1.588580868,1.53472966
1.19,0,1.578899363,1.578899363,1.525289586
1.2,0,1.569205938,1.569205938,1.515680662
1.21,0,1.559625555,1.559625555,1.506100279
1.22,0,1.550157909,1.550157909,1.496632633
1.23,0,1.540802591,1.540802591,1.487277315
1.24,0,1.531559408,1.531559408,1.478034132
1.25,0,1.522427986,1.522427986,1.46890271
1.26,0,1.513408033,1.513408033,1.459882757
1.27,0,1.504499286,1.504499286,1.45097401
1.28,0,1.495701483,1.495701483,1.442176207
1.29,0,1.487014467,1.487014467,1.433489191
1.3,0,1.478437687,1.478437687,1.424912411
1.31,0,1.469971198,1.469971198,1.416445922
1.32,0,1.461614574,1.461614574,1.408089298
1.33,0,1.453367679,1.453367679,1.399842403
1.34,0,1.445230082,1.445230082,1.391704806
1.35,0,1.437201869,1.437201869,1.383676593
1.36,0,1.42928253,1.42928253,1.375757254
1.37,0,1.421472046,1.421472046,1.36794677
1.38,0,1.413770027,1.413770027,1.360244751
1.39,0,1.406176465,1.406176465,1.352651189
1.4,0,1.398691064,1.398691064,1.345165788
1.41,0,1.39131355,1.39131355,1.337788274
1.42,0,1.384043715,1.384043715,1.330518439
1.43,0,1.376881597,1.376881597,1.323356321
1.44,0,1.369826717,1.369826717,1.316301441
1.45,0,1.362879096,1.362879096,1.30935382
1.46,0,1.356038569,1.356038569,1.302513293
1.47,0,1.349304773,1.349304773,1.295779497
1.48,0,1.342677745,1.342677745,1.289152469
1.49,0,1.33615722,1.33615722,1.282631944
